parameter,model_id
MONTH,1
NATURAL_RUBBER_EXPORT,1
RSS3_PRICE_PREV,1
RSS3_OPEN_PREV,1
RSS3_HIGH_PREV,1
RSS3_LOW_PREV,1
RSS3_VOLUME_PREV,1
RSS3_CHANGE_PREV,1
TSR20_PRICE_PREV,1
TSR20_OPEN_PREV,1
TSR20_HIGH_PREV,1
TSR20_LOW_PREV,1
TSR20_VOLUME_PREV,1
TSR20_CHANGE_PREV,1
CRUDE_OIL_PRICE_BARREL_PREV,1
CRUDE_OIL_PRICE_CHANGE_PREV,1
USD_ISD_EXCHANGE_RATE_PRICE_PREV,1
USD_ISD_EXCHANGE_RATE_OPEN_PREV,1
USD_ISD_EXCHANGE_RATE_HIGH_PREV,1
USD_ISD_EXCHANGE_RATE_LOW_PREV,1
USD_ISD_EXCHANGE_RATE_CHANGE_PREV,1
TEMP_PREV,1
RAINFALL_PREV,1
PLANTED_AREA,1
CHINESE_IMPORTED_DOLLARS_PREV,1
EXPORT_4002,1
EXPORT_4003,1
EXPORT_4004,1
EXPORT_4005,1
EXPORT_4006,1
EXPORT_4007,1
EXPORT_4008,1
EXPORT_4009,1
EXPORT_4010,1
EXPORT_4011,1
EXPORT_4012,1
EXPORT_4013,1
EXPORT_4014,1
EXPORT_4015,1
EXPORT_4016,1
EXPORT_4017,1
RAMADAN_HOLIDAYS,1
