Date;Price;Open;High;Low;Vol.;Change %
12/01/18;2380;2550;2743;2150;774780;-7.07%
11/01/18;2561;2335;2566;2335;703630;9.68%
10/01/18;2335;2544;2575;2261;1050000;-6.38%
09/01/18;2494;2281;2569;2252;656840;9.39%
08/01/18;2280;2101;2367;2048;931740;8.57%
07/01/18;2100;2144;2241;1999;1060000;-2.01%
06/01/18;2143;2300;2484;2096;1390000;-6.79%
05/01/18;2299;2264;2338;2101;544930;1.46%
04/01/18;2266;2277;2401;2181;384420;-0.40%
03/01/18;2275;2313;2400;2175;498420;-1.73%
02/01/18;2315;2352;2425;1961;885520;0.70%
01/01/18;2299;2470;2575;2180;1250000;-6.66%
